ID,Name,Garrison ID,Garrison Name,Area,Website URL,Logo URL,Logo URL (Small),Officer Count
102,Snowy Range Squad,14,Mountain Garrison,Northern CO and all of Wyoming,www.mg501.com/squads/srs/srs.php,https://www.501st.com/images/logos/125px/Snowy-Range-Squad.png,https://www.501st.com/images/logos/62px/Snowy-Range-Squad.png,2
106,South Texas Squad,21,Star Garrison,Southern Texas,www.stargarrison.com,https://www.501st.com/images/logos/125px/South-Texas-Squad.png,https://www.501st.com/images/logos/62px/South-Texas-Squad.png,1
107,Pikes Peak Squad,14,Mountain Garrison,Southern CO,www.mg501.com/squads/pps/pps.php,https://www.501st.com/images/logos/125px/Pikes-Peak-Squad.png,https://www.501st.com/images/logos/62px/Pikes-Peak-Squad.png,2
110,Tampa Bay Squad,9,Florida Garrison,West Central Florida,www.fl501st.com,https://www.501st.com/images/logos/125px/Tampa-Bay-Squad.png,https://www.501st.com/images/logos/62px/Tampa-Bay-Squad.png,2
113,Everglades Squad,9,Florida Garrison,Southern Florida,www.fl501st.com,https://www.501st.com/images/logos/125px/Everglades-Squad.png,https://www.501st.com/images/logos/62px/Everglades-Squad.png,2
116,Mile High Squad,14,Mountain Garrison,Central Colorado,www.mg501.com/squads/mhs/mhs.php,https://www.501st.com/images/logos/125px/Mile-High-Squad.png,https://www.501st.com/images/logos/62px/Mile-High-Squad.png,2
117,North Texas Squad,21,Star Garrison,Northern Texas,www.stargarrison.com,https://www.501st.com/images/logos/125px/North-TX-Squad.png,https://www.501st.com/images/logos/62px/North-TX-Squad.png,2
121,Flanders Dragon Squad,29,Belgium: Belgian Garrison,Dutch speaking areas of Belgium,www.501st.be,https://www.501st.com/images/logos/125px/Flanders-Dragon-Squad.png,https://www.501st.com/images/logos/62px/Flanders-Dragon-Squad.png,2
124,Makaze Squad,9,Florida Garrison,East Central Florida,www.fl501st.com,https://www.501st.com/images/logos/125px/Makaze-Squad.png,https://www.501st.com/images/logos/62px/Makaze-Squad.png,2
126,Parjai Squad,9,Florida Garrison,Northwest Florida,www.fl501st.com,https://www.501st.com/images/logos/125px/Parjai-Squad.png,https://www.501st.com/images/logos/62px/Parjai-Squad.png,2
127,Coastal Hammer Squad,11,German Garrison,Northern Germany,www.northern-squad.de,https://www.501st.com/images/logos/125px/Coastal-Hammer-Squad.png,https://www.501st.com/images/logos/62px/Coastal-Hammer-Squad.png,2
128,White Shadows Squad,11,German Garrison,Western Germany,www.western-squad.de,https://www.501st.com/images/logos/125px/White-Shadows-Squad.png,https://www.501st.com/images/logos/62px/White-Shadows-Squad.png,2
129,Arma Candida,11,German Garrison,Southwestern Germany,www.armacandida.de,https://www.501st.com/images/logos/125px/SWS_Arma-Candida.png,https://www.501st.com/images/logos/62px/SWS_Arma-Candida.png,2
131,Imperial 80th Squad,6,Central Garrison,Nebraska (United States),www.centralgarrison.com,https://www.501st.com/images/logos/125px/Imperial-80th-Squad.png,https://www.501st.com/images/logos/62px/Imperial-80th-Squad.png,2
134,Custodes Euroi Squad,11,German Garrison,"Bavaria, Baden Wurttemberg, and Thuringen",www.sesq.de,https://www.501st.com/images/logos/125px/SES-Custodes-Euroi.png,https://www.501st.com/images/logos/62px/SES-Custodes-Euroi.png,2
136,Squad 7,9,Florida Garrison,Northeast Florida,www.fl501st.com,https://www.501st.com/images/logos/125px/Squad-Seven.png,https://www.501st.com/images/logos/62px/Squad-Seven.png,2
141,Jundland Wastes Squad,7,Dune Sea Garrison,Southern Arizona,www.duneseagarrison.com,https://www.501st.com/images/logos/125px/Jundland-Wastes-Squad.png,https://www.501st.com/images/logos/62px/Jundland-Wastes-Squad.png,2
142,Gateway Squad,57,70th Explorers Garrison,St. Louis and Eastern Missouri,70thexplorers.com/gws,https://www.501st.com/images/logos/125px/Gateway-Squad.png,https://www.501st.com/images/logos/62px/Gateway-Squad.png,1
147,Tornacum Squad,29,Belgium: Belgian Garrison,Tournai/Doornik/Paticially West Flanders,,https://www.501st.com/images/logos/125px/Tornacum-Squad.png,https://www.501st.com/images/logos/62px/Tornacum-Squad.png,2
148,SubZero Squad,27,Italica Garrison,"Veneto,Trentino Alto-Adige,Friuli-Venezia-Giulia",,https://www.501st.com/images/logos/125px/SubZero-Squad.png,https://www.501st.com/images/logos/62px/SubZero-Squad.png,2
149,77th Alpi Squad,27,Italica Garrison,"Lombardia,Piemonte,Liguria,Valle d'Aosta",,https://www.501st.com/images/logos/125px/77th-Alpi-Squad.png,https://www.501st.com/images/logos/62px/77th-Alpi-Squad.png,2
150,3T Squad,27,Italica Garrison,"Emilia Romagna,Toscana,Marche,Umbria",,https://www.501st.com/images/logos/125px/3T-Squad.png,https://www.501st.com/images/logos/62px/3T-Squad.png,2
151,Sqvad Praetoriana,27,Italica Garrison,"Lazio,Abruzzo,Molise,Puglia,Campania,Basilicata,Sa",,https://www.501st.com/images/logos/125px/Sqvad-Praetoriana.png,https://www.501st.com/images/logos/62px/Sqvad-Praetoriana.png,2
153,Inland Empire Squad,19,California: Southern California Garrison,San Bernardino & Riverside County,southerncaliforniagarrison.com/,https://www.501st.com/images/logos/125px/Inland-Empire-Squad.png,https://www.501st.com/images/logos/62px/Inland-Empire-Squad.png,1
154,West Texas Squad,21,Star Garrison,West Texas,www.stargarrison.com,https://www.501st.com/images/logos/125px/West-Texas-Squad.png,https://www.501st.com/images/logos/62px/West-Texas-Squad.png,2
156,Mos Nooga Squad,43,Midsouth Garrison,Chattanooga & Surrounding Counties,,https://www.501st.com/images/logos/125px/Mos-Nooga-Squad.png,https://www.501st.com/images/logos/62px/Mos-Nooga-Squad.png,1
159,Echo Nova Squad,11,German Garrison,"Berlin, Brandenburg, Sachsen, Sachsen-Anhalt, Thü",www.eastern-squad.de,https://www.501st.com/images/logos/125px/Echo-Nova-Squad.png,https://www.501st.com/images/logos/62px/Echo-Nova-Squad.png,2
161,Central Texas Squad,21,Star Garrison,Waco (Mclennan County) to Brownsville and the Texa,www.stargarrison.com,https://www.501st.com/images/logos/125px/Central-Texas-Squad.png,https://www.501st.com/images/logos/62px/Central-Texas-Squad.png,2
162,Ocmulgee Squad,10,Georgia Garrison,Middle Georgia,www.ga501st.com ,https://www.501st.com/images/logos/125px/Ocmulgee-Squad.png,https://www.501st.com/images/logos/62px/Ocmulgee-Squad.png,1
167,Havoc Squad,23,Garrison Titan,Eastern Washington State,havocsquad.garrisontitan.com,https://www.501st.com/images/logos/125px/Havoc-Squad.png,https://www.501st.com/images/logos/62px/Havoc-Squad.png,1
169,Outlanders Squad ,10,Georgia Garrison,"thens-Clarke, Barrow, Hall, Jackson, Jefferson, Oc",,https://www.501st.com/images/logos/125px/Outlander-Squad.png,https://www.501st.com/images/logos/62px/Outlander-Squad.png,1
175,Imperial City Squad,47,Mexican Garrison,Capital city of Mexico & the State,,https://www.501st.com/images/logos/125px/Imperial-City-Squad.png,https://www.501st.com/images/logos/62px/Imperial-City-Squad.png,1
182,Longfin Squad,82,Redback Garrison ,"Gold Coast, Beaudesertshire, Jimboomba",501st.com.au/,https://www.501st.com/images/logos/125px/Longfin-Squad.png,https://www.501st.com/images/logos/62px/Longfin-Squad.png,1
183,Firehawk Squad ,57,70th Explorers Garrison,Kansas City Metro Area,70thexplorers.com/fhs/,https://www.501st.com/images/logos/125px/Firehawk-Squad.png,https://www.501st.com/images/logos/62px/Firehawk-Squad.png,1
184,Black Ice Squad,84,Wisconsin Garrison,"North East Wisconsin - Brown, Calumet, ",www.wigarrison.com,https://www.501st.com/images/logos/125px/Black-Ice-Squad.png,https://www.501st.com/images/logos/62px/Black-Ice-Squad.png,1
185,San Joaquin Squad,19,California: Southern California Garrison,Bakersfield( Kern County),southerncaliforniagarrison.com/,https://www.501st.com/images/logos/125px/San-Joaquin-Squad.png,https://www.501st.com/images/logos/62px/San-Joaquin-Squad.png,2
186,Squad Rosario,38,Garrison Argentina ,Province of Santa Fe and Neighboring Provinces ,www.squadrosario.com.ar,https://www.501st.com/images/logos/125px/Squad-Rosario.png,https://www.501st.com/images/logos/62px/Squad-Rosario.png,1
190,Hudson Valley Squad,8,New York: Empire City Garrison,"New York Counties of: Westchester,  Putnam,   Dutc",http://www.501ecg.com/index.html,https://www.501st.com/images/logos/125px/Hudson-Valley-Squad.png,https://www.501st.com/images/logos/62px/Hudson-Valley-Squad.png,2
191,Kuat Drive Yards Squad,4,Brazil: Brazilian Division Garrison,Coastline and Region of ABC of State São Paulo,,https://www.501st.com/images/logos/125px/Kuat-Drive-Yards-Squad.png,https://www.501st.com/images/logos/62px/Kuat-Drive-Yards-Squad.png,1
192,Pomeranian Squad,37,Polish Garrison,"Pomorskie, woj. Kujawsko-Pomorskie, woj. Zachodnio",,https://www.501st.com/images/logos/125px/Pomeranian-Squad.png,https://www.501st.com/images/logos/62px/Pomeranian-Squad.png,1
193,Blue Sun Squad,140,Bluegrass Garrison,Central & Northern Kentucky (Lexington),,https://www.501st.com/images/logos/125px/Blue-Sun-Squad.png,https://www.501st.com/images/logos/62px/Blue-Sun-Squad.png,2
194,Venator Squad,10,Georgia Garrison,North west Georgia,https://ga501st.com/,https://www.501st.com/images/logos/125px/Venator-Squad.png,https://www.501st.com/images/logos/62px/Venator-Squad.png,1
198,Trinacria Squad ,27,Italica Garrison,"Sicilia, Calabria",,https://www.501st.com/images/logos/125px/Trinacria-Squad.png,https://www.501st.com/images/logos/62px/Trinacria-Squad.png,2
201,Channel Islands Squad,19,California: Southern California Garrison,"San Luis Obispo, Santa Barbara, Ventura Counties",southerncaliforniagarrison.com/,https://www.501st.com/images/logos/125px/Channel-Islands-Squad.png,https://www.501st.com/images/logos/62px/Channel-Islands-Squad.png,2
202,Los Angeles Squad,19,California: Southern California Garrison,Los Angeles,southerncaliforniagarrison.com/,https://www.501st.com/images/logos/125px/Los-Angeles-Squad.png,https://www.501st.com/images/logos/62px/Los-Angeles-Squad.png,2
203,Orange County Squad,19,California: Southern California Garrison,Orange County,southerncaliforniagarrison.com/,https://www.501st.com/images/logos/125px/Orange-County-Squad.png,https://www.501st.com/images/logos/62px/Orange-County-Squad.png,2
204,Polonia Minor Squad,37,Polish Garrison," Lesser Poland, Silesian",,https://www.501st.com/images/logos/125px/Polonia-Minor-Squad.png,https://www.501st.com/images/logos/62px/Polonia-Minor-Squad.png,1
205,South Valley Squad,26,California: Central California Garrison,Madera Fresno Kings and Tulare Counties,,https://www.501st.com/images/logos/125px/South-Valley-Squad.png,https://www.501st.com/images/logos/62px/South-Valley-Squad.png,2
206,Rio de la Plata Squad,38,Garrison Argentina ,"Buenos Aires, Greater Buenos Aires and surrounding",,https://www.501st.com/images/logos/125px/Rio-de-la-Plata-Squad.png,https://www.501st.com/images/logos/62px/Rio-de-la-Plata-Squad.png,2
211,Chimaera Squad,67,Hungarian Garrison,Budapest and Pest county,,https://www.501st.com/images/logos/125px/Chimaera-Squad.png,https://www.501st.com/images/logos/62px/Chimaera-Squad.png,1
214,Imperial Welsh Squad,24,UK Garrison,Wales,,https://www.501st.com/images/logos/125px/Imperial-Welsh-Squad.png,https://www.501st.com/images/logos/62px/Imperial-Welsh-Squad.png,2
215,Wampa Hunter Squad,6,Central Garrison,North Dakota,,https://www.501st.com/images/logos/125px/Wampa-Hunter-Squad.png,https://www.501st.com/images/logos/62px/Wampa-Hunter-Squad.png,2
216,Coastal Empire Squad,10,Georgia Garrison,Eastern and coastal Georgia,,https://www.501st.com/images/logos/125px/Coastal-Empire-Squad.png,https://www.501st.com/images/logos/62px/Coastal-Empire-Squad.png,1
219,Green Mountain Squad,16,New England Garrison,Vermont,,https://www.501st.com/images/logos/125px/Green-Mountain-Squad.png,https://www.501st.com/images/logos/62px/Green-Mountain-Squad.png,2
220,Razorbacks Squad,82,Redback Garrison ,"Sunshine Coast, Wide Bay/ Burnett Region",,https://www.501st.com/images/logos/125px/Razorbacks-Squad.png,https://www.501st.com/images/logos/62px/Razorbacks-Squad.png,1
221,621st Detention Squad,6,Central Garrison,South Dakota,,https://www.501st.com/images/logos/125px/621st-Detention-Squad.png,https://www.501st.com/images/logos/62px/621st-Detention-Squad.png,2
222,Terminus Squad,10,Georgia Garrison,"Fulton and DeKalb counties, Georgia State",,https://www.501st.com/images/logos/125px/Terminus-Squad.png,https://www.501st.com/images/logos/62px/Terminus-Squad.png,1
223,Squad Cierzo,52,Spanish Garrison,"Aragon, Soria and Logroño",,https://www.501st.com/images/logos/125px/Squad-Cierzo.png,https://www.501st.com/images/logos/62px/Squad-Cierzo.png,1
224,Hunter Hornet Squad,80,Southern Cross Garrison,"The Hunter Region, NSW",501scg.org,https://www.501st.com/images/logos/125px/Hunter-Hornet-Squad.png,https://www.501st.com/images/logos/62px/Hunter-Hornet-Squad.png,2
226,Devastator Squad,84,Wisconsin Garrison,Adams Dane Dodge Columbia Green Lake Iowa Jefferso,www.facebook.com/devastatorsquad501st,https://www.501st.com/images/logos/125px/Devastator-Squad.png,https://www.501st.com/images/logos/62px/Devastator-Squad.png,1
