Type,Name,ID,Parent Garrison ID,Area,Website URL,Logo URL,Logo URL (Small),Officer Count
Garrison,70th Explorers Garrison,57,,Missouri and Kansas (United States),www.70thexplorers.com,https://www.501st.com/images/logos/125px/70th-Explorers.png,https://www.501st.com/images/logos/62px/70th-Explorers.png,23
Squad,- Firehawk Squad ,183,57,Kansas City Metro Area,70thexplorers.com/fhs/,https://www.501st.com/images/logos/125px/Firehawk-Squad.png,https://www.501st.com/images/logos/62px/Firehawk-Squad.png,0
Squad,- Gateway Squad,142,57,St. Louis and Eastern Missouri,70thexplorers.com/gws,https://www.501st.com/images/logos/125px/Gateway-Squad.png,https://www.501st.com/images/logos/62px/Gateway-Squad.png,0
Squad,- Great Plains Squad,269,57,"Counties in the State of Kansas: Ellis, Russell, L",,https://www.501st.com/images/logos/125px/Great-Plains-Squad.png,https://www.501st.com/images/logos/62px/Great-Plains-Squad.png,0
Garrison,Alabama Garrison,69,,Alabama (United States),al501st.net,https://www.501st.com/images/logos/125px/Alabama-Garrison.png,https://www.501st.com/images/logos/62px/Alabama-Garrison.png,13
Squad,- Delta Squad,256,69,Mobile and Baldwin counties,http://al501st.net/,https://www.501st.com/images/logos/125px/Delta-Squad.png,https://www.501st.com/images/logos/62px/Delta-Squad.png,0
Garrison,Alaskan Garrison,61,,Alaska (United States),www.ak501st.com,https://www.501st.com/images/logos/125px/Alaskan-Garrison.png,https://www.501st.com/images/logos/62px/Alaskan-Garrison.png,9
Garrison,Alpine Garrison,2,,"Utah, (United States)",UT501st.com,https://www.501st.com/images/logos/125px/Alpine-Garrison.png,https://www.501st.com/images/logos/62px/Alpine-Garrison.png,18
Outpost,Arctic Outpost,125,,Nunavut,www.arcticoutpost.ca/,https://www.501st.com/images/logos/125px/Arctic-Outpost.png,https://www.501st.com/images/logos/62px/Arctic-Outpost.png,1
Garrison,Austrian Garrison,62,,Austria,501st-austria.com,https://www.501st.com/images/logos/125px/Austrian-Garrison.png,https://www.501st.com/images/logos/62px/Austrian-Garrison.png,15
Squad,- Upper Austria Squad,288,62,Upper Austria,www.501st-austria.com/index.php/m-squads,https://www.501st.com/images/logos/125px/Upper-Austria-Squad.png,https://www.501st.com/images/logos/62px/Upper-Austria-Squad.png,0
Outpost,Baltic Outpost,145,,"Latvia, Estonia, and Lithuania",www.facebook.com/groups/8199937448322,https://www.501st.com/images/logos/125px/Baltic-Outpost.png,https://www.501st.com/images/logos/62px/Baltic-Outpost.png,1
Garrison,Bast Alpha Garrison,78,,Louisiana (United States),la501st.com,https://www.501st.com/images/logos/125px/Bast-Alpha-Garrison.png,https://www.501st.com/images/logos/62px/Bast-Alpha-Garrison.png,13
Outpost,Battle Born Outpost,163,,"US State of Nevada County lines. Washo, Story, Churchhill, Lyon, Carson City, and Douglas ",,https://www.501st.com/images/logos/125px/Battle-Born-Outpost.png,https://www.501st.com/images/logos/62px/Battle-Born-Outpost.png,3
Garrison,Belgium: Belgian Garrison,29,,North Belgium,www.501st.be,https://www.501st.com/images/logos/125px/Belgian-Garrison.png,https://www.501st.com/images/logos/62px/Belgian-Garrison.png,18
Squad,- Flanders Dragon Squad,121,29,Dutch speaking areas of Belgium,www.501st.be,https://www.501st.com/images/logos/125px/Flanders-Dragon-Squad.png,https://www.501st.com/images/logos/62px/Flanders-Dragon-Squad.png,0
Squad,- Tornacum Squad,147,29,Tournai/Doornik/Paticially West Flanders,,https://www.501st.com/images/logos/125px/Tornacum-Squad.png,https://www.501st.com/images/logos/62px/Tornacum-Squad.png,0
Garrison,Belgium: FanWars Garrison,60,,South Belgium,www.fanwars.be,https://www.501st.com/images/logos/125px/Fanswars-Garrison.png,https://www.501st.com/images/logos/62px/Fanswars-Garrison.png,12
Garrison,Bloodfin Garrison,48,,Southern Indiana (United States),www.bloodfingarrison.com,https://www.501st.com/images/logos/125px/Bloodfin-Garrison.png,https://www.501st.com/images/logos/62px/Bloodfin-Garrison.png,21
Squad,- Dathomir Squad,280,48,"Southwest portion of Indiana - Dubois, Gibson, Pik",www.bloodfingarrison.com,https://www.501st.com/images/logos/125px/Dathomir-Squad.png,https://www.501st.com/images/logos/62px/Dathomir-Squad.png,0
Garrison,Bluegrass Garrison,140,,Kentucky (United States),www.bluegrassgarrison.com/,https://www.501st.com/images/logos/125px/Bluegrass-Garrison.png,https://www.501st.com/images/logos/62px/Bluegrass-Garrison.png,9
Squad,- Blue Sun Squad,193,140,Central & Northern Kentucky (Lexington),,https://www.501st.com/images/logos/125px/Blue-Sun-Squad.png,https://www.501st.com/images/logos/62px/Blue-Sun-Squad.png,0
Squad,- Derby City Squad,228,140,"Louisville, KY",,https://www.501st.com/images/logos/125px/Derby-City-Squad.png,https://www.501st.com/images/logos/62px/Derby-City-Squad.png,0
Outpost,Bolivian Outpost,72,,Bolivia,www.501stbolivia.com,https://www.501st.com/images/logos/125px/Bolivian-Outpost.png,https://www.501st.com/images/logos/62px/Bolivian-Outpost.png,7
Garrison,Bravo Garrison,156,,"Tamaulipas, Nuevo Leon y Coahuila (Mexico)",bravogarrison.com/,https://www.501st.com/images/logos/125px/Bravo-Garrison.png,https://www.501st.com/images/logos/62px/Bravo-Garrison.png,17
Garrison,Brazil: Brazilian Division Garrison,4,,South Region and the State of São Paulo,www.legiao501.com.br/,https://www.501st.com/images/logos/125px/Brazilian-Division.png,https://www.501st.com/images/logos/62px/Brazilian-Division.png,7
