ID,Name,Type,Area,Website URL,Logo URL,Logo URL (Small),Officer Count
1,Fringe Worlds,Outpost,Imperial Staging point for New Outpost Formation,,https://www.501st.com/images/logos/125px/Fringe-Worlds.png,https://www.501st.com/images/logos/62px/Fringe-Worlds.png,1
2,Alpine Garrison,Garrison,"Utah, (United States)",UT501st.com,https://www.501st.com/images/logos/125px/Alpine-Garrison.png,https://www.501st.com/images/logos/62px/Alpine-Garrison.png,18
4,Brazil: Brazilian Division Garrison,Garrison,South Region and the State of São Paulo,www.legiao501.com.br/,https://www.501st.com/images/logos/125px/Brazilian-Division.png,https://www.501st.com/images/logos/62px/Brazilian-Division.png,7
5,Canada: Canadian Garrison,Garrison,"Canada, Ontario (except the portion under Capital City Garrison)",www.501st.ca,https://www.501st.com/images/logos/125px/Canadian-Garrison.png,https://www.501st.com/images/logos/62px/Canadian-Garrison.png,18
6,Central Garrison,Garrison,North Dakota; South Dakota; Nebraska; (United States),www.centralgarrison.com/,https://www.501st.com/images/logos/125px/Central-Garrison.png,https://www.501st.com/images/logos/62px/Central-Garrison.png,10
7,Dune Sea Garrison,Garrison,Arizona (United States),www.duneseagarrison.com,https://www.501st.com/images/logos/125px/Dune-Sea-Garrison.png,https://www.501st.com/images/logos/62px/Dune-Sea-Garrison.png,22
8,New York: Empire City Garrison,Garrison,"New York City, the 5 Boroughs, Long Island, the Lower and Mid-Hudson Regions",www.empirecitygarrison.com,https://www.501st.com/images/logos/125px/Empire-City-Garrison.png,https://www.501st.com/images/logos/62px/Empire-City-Garrison.png,23
9,Florida Garrison,Garrison,Florida (United States),www.fl501st.com,https://www.501st.com/images/logos/125px/Florida-Garrison.png,https://www.501st.com/images/logos/62px/Florida-Garrison.png,19
10,Georgia Garrison,Garrison,Georgia (United States),www.ga501st.com,https://www.501st.com/images/logos/125px/Georgia-Garrison.png,https://www.501st.com/images/logos/62px/Georgia-Garrison.png,15
11,German Garrison,Garrison,Germany,www.501st.de,https://www.501st.com/images/logos/125px/German-Garrison.png,https://www.501st.com/images/logos/62px/German-Garrison.png,28
12,Japanese Garrison,Garrison,Japan,www.501st.jp,https://www.501st.com/images/logos/125px/Japanese-Garrison.png,https://www.501st.com/images/logos/62px/Japanese-Garrison.png,22
13,Midwest Garrison,Garrison,Illinois (United States),www.midwestgarrison.com,https://www.501st.com/images/logos/125px/Midwest-Garrison.png,https://www.501st.com/images/logos/62px/Midwest-Garrison.png,28
14,Mountain Garrison,Garrison,Colorado and Wyoming (United States),www.mg501.com,https://www.501st.com/images/logos/125px/Mountain-Garrison.png,https://www.501st.com/images/logos/62px/Mountain-Garrison.png,20
15,Neon City Garrison,Garrison,Nevada (United States),www.theneoncitygarrison.com,https://www.501st.com/images/logos/125px/Neon-City-Garrison.png,https://www.501st.com/images/logos/62px/Neon-City-Garrison.png,12
16,New England Garrison,Garrison,"Massachusetts, New Hampshire, Vermont, Maine, Rhode Island (United States)",www.501neg.com,https://www.501st.com/images/logos/125px/New-England-Garrison.png,https://www.501st.com/images/logos/62px/New-England-Garrison.png,34
17,Norwegian Garrison,Garrison,Norway,www.norwegiangarrison.no,https://www.501st.com/images/logos/125px/Norwegian-Garrison.png,https://www.501st.com/images/logos/62px/Norwegian-Garrison.png,9
18,California: Golden Gate Garrison,Garrison,Northern California (United States),501stGGG.com,https://www.501st.com/images/logos/125px/Golden-Gate-Garrison.png,https://www.501st.com/images/logos/62px/Golden-Gate-Garrison.png,30
19,California: Southern California Garrison,Garrison,Southern California (United States),southerncaliforniagarrison.com/,https://www.501st.com/images/logos/125px/Southern-California-Garrison.png,https://www.501st.com/images/logos/62px/Southern-California-Garrison.png,12
21,Star Garrison,Garrison,Texas,www.stargarrison.com,https://www.501st.com/images/logos/125px/Star-Garrison.png,https://www.501st.com/images/logos/62px/Star-Garrison.png,29
22,Swiss Garrison,Garrison,Switzerland,www.swiss-garrison.ch/,https://www.501st.com/images/logos/125px/Swiss-Garrison.png,https://www.501st.com/images/logos/62px/Swiss-Garrison.png,20
23,Garrison Titan,Garrison,Washington (state) (United States),www.garrisontitan.com,https://www.501st.com/images/logos/125px/Garrison-Titan.png,https://www.501st.com/images/logos/62px/Garrison-Titan.png,21
24,UK Garrison,Garrison,United Kingdom,www.ukgarrison.co.uk,https://www.501st.com/images/logos/125px/UK-Garrison.png,https://www.501st.com/images/logos/62px/UK-Garrison.png,22
25,Pacific Outpost,Outpost,Hawaii (United States),www.pac501.net,https://www.501st.com/images/logos/125px/Pacific-Outpost.png,https://www.501st.com/images/logos/62px/Pacific-Outpost.png,20
26,California: Central California Garrison,Garrison,Central California (United States),centralcaliforniagarrison.com/,https://www.501st.com/images/logos/125px/Central-Cali-Garrison.png,https://www.501st.com/images/logos/62px/Central-Cali-Garrison.png,21
27,Italica Garrison,Garrison,Italy,www.501stitalica.com,https://www.501st.com/images/logos/125px/Italica-Garrison.png,https://www.501st.com/images/logos/62px/Italica-Garrison.png,20
28,Garrison Carida,Garrison,Eastern Pennsylvania (US),www.501stGarrisonCarida.org,https://www.501st.com/images/logos/125px/Garrison-Carida.png,https://www.501st.com/images/logos/62px/Garrison-Carida.png,12
29,Belgium: Belgian Garrison,Garrison,North Belgium,www.501st.be,https://www.501st.com/images/logos/125px/Belgian-Garrison.png,https://www.501st.com/images/logos/62px/Belgian-Garrison.png,18
30,Icelandic Garrison,Garrison,Iceland,www.501st.is,https://www.501st.com/images/logos/125px/Icelandic-Garrison.png,https://www.501st.com/images/logos/62px/Icelandic-Garrison.png,9
31,Dutch Garrison,Garrison,Netherlands,501st.nl,https://www.501st.com/images/logos/125px/Dutch-Garrison.png,https://www.501st.com/images/logos/62px/Dutch-Garrison.png,21
